district,date,rainfall_deficit,temp_anomaly,ndvi_drop,soil_moisture,days_since_rain
Pune,2023-12-19,50.0,0.0,0.16310000000000002,,0
Pune,2024-01-01,50.0,-0.7,0.08329999999999999,0.62,1
Pune,2024-01-17,48.38,-1.5,0.132,0.598,7
Pune,2024-02-02,50.0,-1.74,0.1335,0.56,17
Pune,2024-02-18,50.0,0.6,0.2374,0.53,17
Pune,2024-03-05,47.86,0.8,0.12330000000000002,0.507,3
Pune,2024-03-21,50.0,2.23,0.12920000000000004,0.492,17
Pune,2024-04-06,50.0,4.07,0.09240000000000004,0.483,17
Pune,2024-04-22,38.64,4.42,0.10400000000000004,0.481,1
Pune,2024-05-08,49.83,4.87,0.20020000000000002,0.484,11
Pune,2024-05-24,-44.66,4.03,0.1078,0.509,1
Pune,2024-06-09,-154.25,2.72,0.1901,0.522,0
Pune,2024-06-25,-100.64,-0.77,0.1124,0.658,0
Pune,2024-07-11,-0.46,-2.35,0.2874,0.791,2
Pune,2024-07-27,-263.55,-4.42,0.3711,0.956,0
Pune,2024-08-12,-102.61,-3.72,0.2635,0.991,0
Pune,2024-08-28,-114.74,-2.14,0.333,0.984,0
Pune,2024-09-13,12.62,-2.75,0.1164,0.989,0
Pune,2024-09-29,-133.34,-1.83,0.03660000000000002,0.96,0
Pune,2024-10-15,21.91,0.06,0.064,0.956,3
Pune,2024-10-31,22.26,0.53,0.009599999999999997,0.931,10
Pune,2024-11-16,50.0,0.84,0.1703,0.846,17
Pune,2024-12-02,50.0,-1.09,0.1488,0.781,17
Pune,2024-12-18,49.61,-0.92,0.18,0.721,14
