text,category
My PM-KISAN payment has not arrived for 2 months,payment issue
My PMFBY payment has not arrived for 2 months,payment issue
My PM-KISAN payment has not arrived for 3 months,payment issue
My PMFBY payment has not arrived for 3 months,payment issue
My PM-KISAN payment has not arrived for 4 months,payment issue
My PMFBY payment has not arrived for 4 months,payment issue
Subsidy amount for PM-KISAN still pending in my account,payment issue
Subsidy amount for PMFBY still pending in my account,payment issue
Payment for crop insurance claim not received,payment issue
My bank account did not receive the PM-KISAN installment,payment issue
My bank account did not receive the PMFBY installment,payment issue
Amount promised under PM-KISAN never credited,payment issue
Amount promised under PMFBY never credited,payment issue
PM-KISAN money not transferred this quarter,payment issue
Insurance payout for crop damage is delayed,payment issue
Subsidy for fertilizer purchase not received yet,payment issue
My land document was rejected without any reason,document rejection
Aadhaar verification failed during scheme application,document rejection
Application rejected due to incomplete documents,document rejection
My income certificate was not accepted,document rejection
Bank passbook copy got rejected by the officer,document rejection
Land ownership proof was declared invalid,document rejection
My documents were returned saying they are not valid,document rejection
Officer said my paperwork is incomplete without explaining why,document rejection
Officer asked for bribe to process my application,officer misconduct
Field officer was rude and refused to help,officer misconduct
Corruption at the local agriculture office,officer misconduct
Officer demanded money for document verification,officer misconduct
Local official is not cooperating and asking for favors,officer misconduct
Officer harassed me when I asked about my application status,officer misconduct
Agriculture officer threatened me for filing a complaint,officer misconduct
Bribe was demanded before my file would be processed,officer misconduct
No rainfall in our village for over a month,drought risk
Severe water shortage affecting our crops,drought risk
Drought conditions are destroying our wheat field,drought risk
We need urgent drought relief assistance,drought risk
Our region has had no rain and crops are drying up,drought risk
Water levels have dropped severely this season,drought risk
Drought is threatening our entire harvest this year,drought risk
No irrigation water available due to ongoing drought,drought risk
Flood destroyed our entire rice crop this season,flood damage
"Heavy rains flooded our fields, crops are ruined",flood damage
Need compensation for flood damage to farmland,flood damage
Our farmland was submerged after the recent floods,flood damage
Flood water damaged our stored grain and equipment,flood damage
Excessive rainfall caused flooding across our fields,flood damage
We lost our entire sugarcane crop to flooding,flood damage
Flood relief is urgently needed for our village,flood damage
Our cotton crop has a disease spreading rapidly,crop disease
Pest infestation is destroying our tomato plants,crop disease
"Need urgent help, crop disease affecting whole field",crop disease
Fungal infection is spreading across our wheat crop,crop disease
Insects are destroying our soybean plants,crop disease
Our onion crop is showing signs of a serious disease,crop disease
Blight has affected most of our potato field,crop disease
"Need pesticide support, pest attack on our crops",crop disease
Irrigation canal near our farm is broken,irrigation issue
No water supply for irrigation this month,irrigation issue
"Water pump for irrigation not working, need repair",irrigation issue
Irrigation channel is blocked and needs clearing,irrigation issue
Our borewell for irrigation has stopped working,irrigation issue
Drip irrigation system installed under the scheme is faulty,irrigation issue
Water distribution for irrigation is unfair in our area,irrigation issue
Irrigation infrastructure was never completed as promised,irrigation issue
My PM-KISAN approval is delayed for 2 months,scheme delay
My PMFBY approval is delayed for 2 months,scheme delay
My PM-KISAN approval is delayed for 3 months,scheme delay
My PMFBY approval is delayed for 3 months,scheme delay
My PM-KISAN approval is delayed for 4 months,scheme delay
My PMFBY approval is delayed for 4 months,scheme delay
Application under PM-KISAN pending since last month,scheme delay
Application under PMFBY pending since last month,scheme delay
Scheme registration process is taking too long,scheme delay
Still waiting for approval under the government scheme,scheme delay
My scheme application has not been processed in weeks,scheme delay
No update on my application status for the scheme,scheme delay
Approval process for the scheme is extremely slow,scheme delay
Been waiting for scheme enrollment confirmation for a long time,scheme delay
I have a general complaint about farming support,other
Need information about available government schemes,other
General query regarding agricultural assistance,other
Would like to know more about farmer welfare programs,other
Have a question about how to apply for support services,other
Requesting general guidance on agricultural policies,other
Need help understanding the application process,other
General feedback about the farmer support system,other
